Название;Год создания;Автор;ООП;В активной разработке;Последняя версия;Дата последней версии;;
C;1972;Деннис Ритчи;нет;нет;C18;18.07.2018;;
Pascal;1970;Никлаус Вирт;нет;нет;ISO/IEC 10206:1991 Stage: 90.93;29.07.2008;;
Visual Basic;1991;Майкрософт;да;нет;Visual Basic 6.0;01.01.1998;;
C#;2001;Андерс Хейлсберг;да;да;C#11;08.11.2022;;
Java;1995;Джеймс Гослинг;да;да;Java SE 19.0.1;18.10.2022;;
Swift;2014;Крис Латтнер;да;да;5.7.2;14.12.2022;;
Groovy;2003;Джеймс Стрэкан;да;да;4.0.7;21.12.2022;;
Golang (Go);2009;Роберт Гризмер, Роб Пайк и Кен Томпсон;да;да;1.19.4;06.12.2022;;
Scala;2003;Мартин Одерски;да;да;3.1.3;21.06.2022;;
PHP;1995;Расмус Лердорф, Энди Гутманс;нет;да;8.2.0;08.12.2022;;
Ruby;1993;Юкихиро Мацумото;да;да;3.2.0;25.12.2022;;
Objective-C;1983;Бред Кокс;да;нет;2.0;19.10.2022;;
Haskell;1990;Леннарт Аугустссон, Уоррен Бертон;нет;нет;Haskell 2010;01.07.2010;;
C++;1983;Бьёрн Страуструп;да;да;C++20;01.12.2020;;
JavaScript;1996;Брендан Эйх;да;да;ECMAScript 2022;01.06.2022;;
Perl;1987;Ларри Уолл;нет;да;5.36.0;28.05.2022;;
Rust;2006;Грэйдон Хор;да;да;1.66.1;10.01.2023;;
